competition;season;home_score;away_score;round;
Top 14;2016-2017;52;7;J25;
Top 14;2016-2017;32;27;J25;
Top 14;2016-2017;20;23;J25;
Top 14;2016-2017;43;35;J25;
Top 14;2016-2017;13;26;J25;
Top 14;2016-2017;40;37;J25;
Top 14;2016-2017;27;23;J25;
Top 14;2016-2017;40;12;J26;
Top 14;2016-2017;32;12;J26;
Top 14;2016-2017;22;20;J26;
Top 14;2016-2017;27;26;J26;
Top 14;2016-2017;53;21;J26;
Top 14;2016-2017;30;26;J26;
Top 14;2016-2017;33;27;J26;
Top 14;2016-2017;26;22;Barrages;
Top 14;2016-2017;13;22;Barrages;
Top 14;2016-2017;15;18;Semi;
Top 14;2016-2017;37;31;Semi;
Top 14;2016-2017;22;16;Finale;
Top 14;2017-2018;23;23;J1;
Top 14;2017-2018;10;19;J1;
Top 14;2017-2018;48;19;J1;
Top 14;2017-2018;16;25;J1;
Top 14;2017-2018;25;21;J1;
Top 14;2017-2018;32;25;J1;
Top 14;2017-2018;41;14;J1;
Top 14;2017-2018;23;19;J2;
Top 14;2017-2018;35;24;J2;
Top 14;2017-2018;33;19;J2;
Top 14;2017-2018;29;14;J2;
Top 14;2017-2018;37;6;J2;
Top 14;2017-2018;23;19;J2;
Top 14;2017-2018;21;16;J2;
Top 14;2017-2018;51;20;J3;
Top 14;2017-2018;30;10;J3;
Top 14;2017-2018;6;25;J3;
Top 14;2017-2018;12;10;J3;
Top 14;2017-2018;17;22;J3;
Top 14;2017-2018;30;14;J3;
Top 14;2017-2018;20;16;J3;
Top 14;2017-2018;53;17;J4;
Top 14;2017-2018;15;20;J4;
Top 14;2017-2018;49;14;J4;
Top 14;2017-2018;28;13;J4;
Top 14;2017-2018;62;6;J4;
Top 14;2017-2018;25;13;J4;
Top 14;2017-2018;43;20;J4;
Top 14;2017-2018;23;21;J5;
Top 14;2017-2018;14;20;J5;
Top 14;2017-2018;47;17;J5;
Top 14;2017-2018;57;12;J5;
Top 14;2017-2018;19;22;J5;
Top 14;2017-2018;31;12;J5;
Top 14;2017-2018;15;19;J5;
Top 14;2017-2018;26;20;J6;
Top 14;2017-2018;23;25;J6;
Top 14;2017-2018;9;39;J6;
Top 14;2017-2018;30;10;J6;
Top 14;2017-2018;17;20;J6;
Top 14;2017-2018;54;10;J6;
Top 14;2017-2018;29;23;J6;
Top 14;2017-2018;31;20;J7;
Top 14;2017-2018;30;27;J7;
Top 14;2017-2018;27;22;J7;
Top 14;2017-2018;16;19;J7;
Top 14;2017-2018;6;25;J7;
Top 14;2017-2018;16;9;J7;
Top 14;2017-2018;28;18;J7;
Top 14;2017-2018;41;24;J8;
Top 14;2017-2018;29;13;J8;
Top 14;2017-2018;52;18;J8;
Top 14;2017-2018;16;22;J8;
Top 14;2017-2018;33;10;J8;
Top 14;2017-2018;43;28;J8;
Top 14;2017-2018;37;21;J8;
Top 14;2017-2018;38;37;J9;
Top 14;2017-2018;23;20;J9;
Top 14;2017-2018;19;32;J9;
Top 14;2017-2018;15;19;J9;
Top 14;2017-2018;26;24;J9;
Top 14;2017-2018;20;19;J9;
Top 14;2017-2018;28;24;J9;
Top 14;2017-2018;39;18;J10;
Top 14;2017-2018;31;15;J10;
Top 14;2017-2018;33;23;J10;
Top 14;2017-2018;32;22;J10;
Top 14;2017-2018;34;15;J10;
Top 14;2017-2018;39;35;J10;
Top 14;2017-2018;29;40;J10;
Top 14;2017-2018;20;19;J11;
Top 14;2017-2018;27;27;J11;
Top 14;2017-2018;29;13;J11;
Top 14;2017-2018;44;14;J11;
Top 14;2017-2018;32;32;J11;
Top 14;2017-2018;26;0;J11;
Top 14;2017-2018;9;17;J11;
Top 14;2017-2018;26;14;J12;
Top 14;2017-2018;31;41;J12;
Top 14;2017-2018;27;17;J12;
Top 14;2017-2018;33;30;J12;
Top 14;2017-2018;39;11;J12;
Top 14;2017-2018;35;26;J12;
Top 14;2017-2018;27;17;J12;
Top 14;2017-2018;23;19;J13;
Top 14;2017-2018;27;13;J13;
Top 14;2017-2018;29;19;J13;
Top 14;2017-2018;38;17;J13;
Top 14;2017-2018;49;25;J13;
Top 14;2017-2018;22;21;J13;
Top 14;2017-2018;28;6;J13;
Top 14;2017-2018;47;6;J14;
Top 14;2017-2018;22;12;J14;
Top 14;2017-2018;29;10;J14;
Top 14;2017-2018;12;16;J14;
Top 14;2017-2018;18;13;J14;
Top 14;2017-2018;35;23;J14;
Top 14;2017-2018;27;31;J14;
Top 14;2017-2018;19;10;J15;
Top 14;2017-2018;13;12;J15;
Top 14;2017-2018;38;38;J15;
Top 14;2017-2018;30;3;J15;
Top 14;2017-2018;28;16;J15;
Top 14;2017-2018;11;10;J15;
Top 14;2017-2018;58;6;J15;
Top 14;2017-2018;36;12;J16;
Top 14;2017-2018;37;15;J16;
Top 14;2017-2018;71;17;J16;
Top 14;2017-2018;33;24;J16;
Top 14;2017-2018;13;18;J16;
Top 14;2017-2018;5;40;J16;
Top 14;2017-2018;29;30;J16;
Top 14;2017-2018;43;5;J17;
Top 14;2017-2018;30;43;J17;
Top 14;2017-2018;16;21;J17;
Top 14;2017-2018;25;52;J17;
Top 14;2017-2018;36;10;J17;
Top 14;2017-2018;6;7;J17;
Top 14;2017-2018;19;12;J17;
Top 14;2017-2018;11;10;J18;
Top 14;2017-2018;34;36;J18;
Top 14;2017-2018;12;18;J18;
Top 14;2017-2018;33;22;J18;
Top 14;2017-2018;24;15;J18;
Top 14;2017-2018;45;28;J18;
Top 14;2017-2018;20;27;J18;
Top 14;2017-2018;15;6;J19;
Top 14;2017-2018;17;13;J19;
Top 14;2017-2018;27;29;J19;
Top 14;2017-2018;31;29;J19;
Top 14;2017-2018;19;25;J19;
Top 14;2017-2018;33;27;J19;
Top 14;2017-2018;21;17;J19;
Top 14;2017-2018;41;3;J20;
Top 14;2017-2018;20;26;J20;
Top 14;2017-2018;54;5;J20;
Top 14;2017-2018;18;15;J20;
Top 14;2017-2018;9;11;J20;
Top 14;2017-2018;23;17;J20;
Top 14;2017-2018;20;27;J20;
Top 14;2017-2018;28;22;J21;
Top 14;2017-2018;10;15;J21;
Top 14;2017-2018;29;26;J21;
Top 14;2017-2018;19;15;J21;
Top 14;2017-2018;38;14;J21;
Top 14;2017-2018;37;28;J21;
Top 14;2017-2018;22;14;J21;
Top 14;2017-2018;31;20;J22;
Top 14;2017-2018;33;37;J22;
Top 14;2017-2018;15;12;J22;
Top 14;2017-2018;33;12;J22;
Top 14;2017-2018;45;7;J22;
Top 14;2017-2018;49;0;J22;
Top 14;2017-2018;22;24;J22;
Top 14;2017-2018;28;23;J23;
Top 14;2017-2018;50;13;J23;
Top 14;2017-2018;19;18;J23;
Top 14;2017-2018;25;27;J23;
Top 14;2017-2018;36;21;J23;
Top 14;2017-2018;40;24;J23;
Top 14;2017-2018;17;13;J23;
Top 14;2017-2018;32;17;J24;
Top 14;2017-2018;33;3;J24;
Top 14;2017-2018;22;33;J24;
Top 14;2017-2018;40;17;J24;
Top 14;2017-2018;44;3;J24;
Top 14;2017-2018;18;26;J24;
Top 14;2017-2018;42;27;J24;
Top 14;2017-2018;59;13;J25;
Top 14;2017-2018;30;22;J25;
Top 14;2017-2018;39;18;J25;
Top 14;2017-2018;45;13;J25;
Top 14;2017-2018;27;17;J25;
Top 14;2017-2018;15;39;J25;
Top 14;2017-2018;19;14;J25;
Top 14;2017-2018;36;26;J26;
Top 14;2017-2018;42;13;J26;
Top 14;2017-2018;38;26;J26;
Top 14;2017-2018;32;24;J26;
Top 14;2017-2018;31;7;J26;
Top 14;2017-2018;54;3;J26;
Top 14;2017-2018;22;20;J26;
Top 14;2017-2018;19;19;Barrages;
Top 14;2017-2018;11;23;Barrages;
Top 14;2017-2018;40;14;Semi;
Top 14;2017-2018;14;19;Semi;
Top 14;2017-2018;13;29;Finale;
Top 14;2017-2018;47;22;Access Match;
Top 14;2018-2019;15;46;J1;
Top 14;2018-2019;41;19;J1;
Top 14;2018-2019;67;23;J1;
Top 14;2018-2019;16;16;J1;
Top 14;2018-2019;28;21;J1;
Top 14;2018-2019;9;25;J1;
Top 14;2018-2019;20;25;J1;
Top 14;2018-2019;20;10;J2;
Top 14;2018-2019;19;16;J2;
Top 14;2018-2019;20;8;J2;
Top 14;2018-2019;36;14;J2;
Top 14;2018-2019;20;23;J2;
Top 14;2018-2019;25;23;J2;
Top 14;2018-2019;17;40;J2;
Top 14;2018-2019;9;9;J3;
Top 14;2018-2019;33;26;J3;
Top 14;2018-2019;16;22;J3;
Top 14;2018-2019;59;7;J3;
Top 14;2018-2019;42;20;J3;
Top 14;2018-2019;21;24;J3;
Top 14;2018-2019;28;27;J3;
Top 14;2018-2019;55;13;J4;
Top 14;2018-2019;23;27;J4;
Top 14;2018-2019;29;13;J4;
Top 14;2018-2019;22;17;J4;
Top 14;2018-2019;30;17;J4;
Top 14;2018-2019;37;10;J4;
Top 14;2018-2019;37;10;J4;
Top 14;2018-2019;23;19;J5;
Top 14;2018-2019;30;13;J5;
Top 14;2018-2019;33;3;J5;
Top 14;2018-2019;31;22;J5;
Top 14;2018-2019;27;11;J5;
Top 14;2018-2019;13;25;J5;
Top 14;2018-2019;66;15;J5;
Top 14;2018-2019;22;26;J6;
Top 14;2018-2019;25;28;J6;
Top 14;2018-2019;34;22;J6;
Top 14;2018-2019;34;6;J6;
Top 14;2018-2019;20;23;J6;
Top 14;2018-2019;28;8;J6;
Top 14;2018-2019;16;17;J6;
Top 14;2018-2019;16;12;J7;
Top 14;2018-2019;28;25;J7;
Top 14;2018-2019;13;19;J7;
Top 14;2018-2019;12;9;J7;
Top 14;2018-2019;10;0;J7;
Top 14;2018-2019;9;14;J7;
Top 14;2018-2019;29;17;J7;
Top 14;2018-2019;41;6;J8;
Top 14;2018-2019;18;36;J8;
Top 14;2018-2019;48;28;J8;
Top 14;2018-2019;9;9;J8;
Top 14;2018-2019;25;20;J8;
Top 14;2018-2019;35;13;J8;
Top 14;2018-2019;9;13;J8;
Top 14;2018-2019;27;27;J9;
Top 14;2018-2019;33;29;J9;
Top 14;2018-2019;26;16;J9;
Top 14;2018-2019;37;10;J9;
Top 14;2018-2019;40;0;J9;
Top 14;2018-2019;41;6;J9;
Top 14;2018-2019;13;27;J9;
Top 14;2018-2019;36;25;J10;
Top 14;2018-2019;15;18;J10;
Top 14;2018-2019;24;23;J10;
Top 14;2018-2019;12;16;J10;
Top 14;2018-2019;13;15;J10;
Top 14;2018-2019;12;14;J10;
Top 14;2018-2019;31;11;J10;
Top 14;2018-2019;23;28;J11;
Top 14;2018-2019;16;11;J11;
Top 14;2018-2019;30;10;J11;
Top 14;2018-2019;13;16;J11;
Top 14;2018-2019;22;3;J11;
Top 14;2018-2019;11;22;J11;
Top 14;2018-2019;49;20;J11;
Top 14;2018-2019;6;19;J12;
Top 14;2018-2019;40;7;J12;
Top 14;2018-2019;64;28;J12;
Top 14;2018-2019;23;28;J12;
Top 14;2018-2019;17;16;J12;
Top 14;2018-2019;13;32;J12;
Top 14;2018-2019;20;20;J12;
Top 14;2018-2019;52;20;J13;
Top 14;2018-2019;23;20;J13;
Top 14;2018-2019;53;27;J13;
Top 14;2018-2019;16;37;J13;
Top 14;2018-2019;41;13;J13;
Top 14;2018-2019;40;7;J13;
Top 14;2018-2019;39;0;J13;
Top 14;2018-2019;27;8;J14;
Top 14;2018-2019;40;23;J14;
Top 14;2018-2019;6;16;J14;
Top 14;2018-2019;14;25;J14;
Top 14;2018-2019;20;27;J14;
Top 14;2018-2019;22;13;J14;
Top 14;2018-2019;44;19;J14;
Top 14;2018-2019;24;16;J15;
Top 14;2018-2019;25;17;J15;
Top 14;2018-2019;24;30;J15;
Top 14;2018-2019;27;25;J15;
Top 14;2018-2019;32;11;J15;
Top 14;2018-2019;29;16;J15;
Top 14;2018-2019;33;30;J15;
Top 14;2018-2019;40;20;J16;
Top 14;2018-2019;9;14;J16;
Top 14;2018-2019;13;24;J16;
Top 14;2018-2019;10;28;J16;
Top 14;2018-2019;19;10;J16;
Top 14;2018-2019;21;28;J16;
Top 14;2018-2019;29;34;J16;
Top 14;2018-2019;47;31;J17;
Top 14;2018-2019;13;20;J17;
Top 14;2018-2019;38;11;J17;
Top 14;2018-2019;27;14;J17;
Top 14;2018-2019;14;27;J17;
Top 14;2018-2019;18;9;J17;
Top 14;2018-2019;19;13;J17;
Top 14;2018-2019;50;14;J18;
Top 14;2018-2019;27;17;J18;
Top 14;2018-2019;37;10;J18;
Top 14;2018-2019;52;17;J18;
Top 14;2018-2019;15;23;J18;
Top 14;2018-2019;11;24;J18;
Top 14;2018-2019;9;28;J18;
Top 14;2018-2019;18;21;J19;
Top 14;2018-2019;36;17;J19;
Top 14;2018-2019;19;7;J19;
Top 14;2018-2019;16;34;J19;
Top 14;2018-2019;26;12;J19;
Top 14;2018-2019;27;14;J19;
Top 14;2018-2019;53;21;J19;
Top 14;2018-2019;42;33;J20;
Top 14;2018-2019;32;16;J20;
Top 14;2018-2019;15;24;J20;
Top 14;2018-2019;22;16;J20;
Top 14;2018-2019;13;28;J20;
Top 14;2018-2019;45;27;J20;
Top 14;2018-2019;19;23;J20;
Top 14;2018-2019;25;10;J21;
Top 14;2018-2019;21;17;J21;
Top 14;2018-2019;33;17;J21;
Top 14;2018-2019;31;22;J21;
Top 14;2018-2019;25;11;J21;
Top 14;2018-2019;24;27;J21;
Top 14;2018-2019;31;31;J21;
Top 14;2018-2019;12;16;J22;
Top 14;2018-2019;71;21;J22;
Top 14;2018-2019;47;9;J22;
Top 14;2018-2019;25;22;J22;
Top 14;2018-2019;19;18;J22;
Top 14;2018-2019;26;25;J22;
Top 14;2018-2019;47;44;J22;
Top 14;2018-2019;29;27;J23;
Top 14;2018-2019;20;21;J23;
Top 14;2018-2019;25;15;J23;
Top 14;2018-2019;47;12;J23;
Top 14;2018-2019;29;49;J23;
Top 14;2018-2019;45;17;J23;
Top 14;2018-2019;25;41;J23;
Top 14;2018-2019;83;6;J24;
Top 14;2018-2019;11;29;J24;
Top 14;2018-2019;9;12;J24;
Top 14;2018-2019;35;13;J24;
Top 14;2018-2019;30;21;J24;
Top 14;2018-2019;34;10;J24;
Top 14;2018-2019;23;27;J24;
Top 14;2018-2019;22;0;J25;
Top 14;2018-2019;14;52;J25;
Top 14;2018-2019;10;17;J25;
Top 14;2018-2019;29;19;J25;
Top 14;2018-2019;42;25;J25;
Top 14;2018-2019;36;43;J25;
Top 14;2018-2019;32;11;J25;
Top 14;2018-2019;81;12;J26;
Top 14;2018-2019;31;17;J26;
Top 14;2018-2019;47;7;J26;
Top 14;2018-2019;23;24;J26;
Top 14;2018-2019;27;28;J26;
Top 14;2018-2019;16;25;J26;
Top 14;2018-2019;3;35;J26;
Top 14;2018-2019;13;19;Barrages;
Top 14;2018-2019;21;16;Barrages;
Top 14;2018-2019;20;6;Semi;
Top 14;2018-2019;33;13;Semi;
Top 14;2018-2019;24;18;Finale;
Top 14;2018-2019;28;22;Access Match;
Top 14;2019-2020;25;44;J1;
Top 14;2019-2020;17;24;J1;
Top 14;2019-2020;33;14;J1;
Top 14;2019-2020;43;9;J1;
Top 14;2019-2020;26;25;J1;
Top 14;2019-2020;30;25;J1;
Top 14;2019-2020;28;10;J1;
Top 14;2019-2020;30;34;J2;
Top 14;2019-2020;43;22;J2;
Top 14;2019-2020;28;26;J2;
Top 14;2019-2020;16;10;J2;
Top 14;2019-2020;34;12;J2;
Top 14;2019-2020;23;14;J2;
Top 14;2019-2020;22;12;J2;
Top 14;2019-2020;32;34;J3;
Top 14;2019-2020;6;20;J3;
Top 14;2019-2020;18;12;J3;
Top 14;2019-2020;33;27;J3;
Top 14;2019-2020;30;16;J3;
Top 14;2019-2020;28;21;J3;
Top 14;2019-2020;20;17;J3;
Top 14;2019-2020;28;13;J4;
Top 14;2019-2020;59;3;J4;
Top 14;2019-2020;28;37;J4;
Top 14;2019-2020;27;17;J4;
Top 14;2019-2020;52;3;J4;
Top 14;2019-2020;29;10;J4;
Top 14;2019-2020;32;29;J4;
Top 14;2019-2020;39;17;J5;
Top 14;2019-2020;23;22;J5;
Top 14;2019-2020;30;27;J5;
Top 14;2019-2020;24;23;J5;
Top 14;2019-2020;20;31;J5;
Top 14;2019-2020;17;17;J5;
Top 14;2019-2020;18;32;J5;
Top 14;2019-2020;20;13;J6;
Top 14;2019-2020;46;16;J6;
Top 14;2019-2020;23;9;J6;
Top 14;2019-2020;27;29;J6;
Top 14;2019-2020;25;23;J6;
Top 14;2019-2020;3;31;J6;
Top 14;2019-2020;23;3;J6;
Top 14;2019-2020;28;24;J7;
Top 14;2019-2020;36;15;J7;
Top 14;2019-2020;27;27;J7;
Top 14;2019-2020;27;8;J7;
Top 14;2019-2020;41;17;J7;
Top 14;2019-2020;33;30;J7;
Top 14;2019-2020;42;15;J7;
Top 14;2019-2020;33;22;J8;
Top 14;2019-2020;27;14;J8;
Top 14;2019-2020;20;9;J8;
Top 14;2019-2020;37;24;J8;
Top 14;2019-2020;30;9;J8;
Top 14;2019-2020;12;6;J8;
Top 14;2019-2020;24;15;J8;
Top 14;2019-2020;19;19;J9;
Top 14;2019-2020;3;9;J9;
Top 14;2019-2020;23;0;J9;
Top 14;2019-2020;28;26;J9;
Top 14;2019-2020;34;8;J9;
Top 14;2019-2020;45;17;J9;
Top 14;2019-2020;9;25;J9;
Top 14;2019-2020;30;34;J10;
Top 14;2019-2020;30;13;J10;
Top 14;2019-2020;22;13;J10;
Top 14;2019-2020;9;19;J10;
Top 14;2019-2020;33;8;J10;
Top 14;2019-2020;26;21;J10;
Top 14;2019-2020;45;10;J10;
Top 14;2019-2020;6;6;J11;
Top 14;2019-2020;29;25;J11;
Top 14;2019-2020;29;12;J11;
Top 14;2019-2020;8;13;J11;
Top 14;2019-2020;21;18;J11;
Top 14;2019-2020;20;15;J11;
Top 14;2019-2020;41;19;J11;
Top 14;2019-2020;52;9;J12;
Top 14;2019-2020;20;44;J12;
Top 14;2019-2020;20;20;J12;
Top 14;2019-2020;40;8;J12;
Top 14;2019-2020;23;27;J12;
Top 14;2019-2020;39;22;J12;
Top 14;2019-2020;13;13;J12;
Top 14;2019-2020;12;13;J13;
Top 14;2019-2020;27;19;J13;
Top 14;2019-2020;13;44;J13;
Top 14;2019-2020;29;26;J13;
Top 14;2019-2020;22;3;J13;
Top 14;2019-2020;43;3;J13;
Top 14;2019-2020;30;18;J13;
Top 14;2019-2020;27;12;J14;
Top 14;2019-2020;33;26;J14;
Top 14;2019-2020;0;27;J14;
Top 14;2019-2020;35;30;J14;
Top 14;2019-2020;29;19;J14;
Top 14;2019-2020;22;23;J14;
Top 14;2019-2020;22;14;J14;
Top 14;2019-2020;37;19;J15;
Top 14;2019-2020;34;17;J15;
Top 14;2019-2020;31;29;J15;
Top 14;2019-2020;20;23;J15;
Top 14;2019-2020;21;20;J15;
Top 14;2019-2020;24;43;J15;
Top 14;2019-2020;30;27;J15;
Top 14;2019-2020;17;12;J16;
Top 14;2019-2020;26;16;J16;
Top 14;2019-2020;16;30;J16;
Top 14;2019-2020;28;17;J16;
Top 14;2019-2020;22;31;J16;
Top 14;2019-2020;29;20;J16;
Top 14;2019-2020;25;7;J16;
Top 14;2019-2020;49;0;J17;
Top 14;2019-2020;19;15;J17;
Top 14;2019-2020;20;10;J17;
Top 14;2019-2020;15;32;J17;
Top 14;2019-2020;30;16;J17;
Top 14;2019-2020;26;24;J17;
Top 14;2019-2020;19;18;J17;
Top 14;2019-2020;Delayed;Delayed;J18;
Top 14;2019-2020;Delayed;Delayed;J18;
Top 14;2019-2020;Delayed;Delayed;J18;
Top 14;2019-2020;Delayed;Delayed;J18;
Top 14;2019-2020;Delayed;Delayed;J18;
Top 14;2019-2020;Delayed;Delayed;J18;
Top 14;2019-2020;Delayed;Delayed;J18;
Top 14;2019-2020;Delayed;Delayed;J19;
Top 14;2019-2020;Delayed;Delayed;J19;
Top 14;2019-2020;Delayed;Delayed;J19;
Top 14;2019-2020;Delayed;Delayed;J19;
Top 14;2019-2020;Delayed;Delayed;J19;
Top 14;2019-2020;Delayed;Delayed;J19;
Top 14;2019-2020;Delayed;Delayed;J19;
Top 14;2019-2020;Delayed;Delayed;J20;
Top 14;2019-2020;Delayed;Delayed;J20;
Top 14;2019-2020;Delayed;Delayed;J20;
Top 14;2019-2020;Delayed;Delayed;J20;
Top 14;2019-2020;Delayed;Delayed;J20;
Top 14;2019-2020;Delayed;Delayed;J20;
Top 14;2019-2020;Delayed;Delayed;J20;
Top 14;2019-2020;Delayed;Delayed;J21;
Top 14;2019-2020;Delayed;Delayed;J21;
Top 14;2019-2020;Delayed;Delayed;J21;
Top 14;2019-2020;Delayed;Delayed;J21;
Top 14;2019-2020;Delayed;Delayed;J21;
Top 14;2019-2020;Delayed;Delayed;J21;
Top 14;2019-2020;Delayed;Delayed;J21;
Top 14;2019-2020;Delayed;Delayed;J22;
Top 14;2019-2020;Delayed;Delayed;J22;
Top 14;2019-2020;Delayed;Delayed;J22;
Top 14;2019-2020;Delayed;Delayed;J22;
Top 14;2019-2020;Delayed;Delayed;J22;
Top 14;2019-2020;Delayed;Delayed;J22;
Top 14;2019-2020;Delayed;Delayed;J22;
Top 14;2019-2020;Delayed;Delayed;J23;
Top 14;2019-2020;Delayed;Delayed;J23;
Top 14;2019-2020;Delayed;Delayed;J23;
Top 14;2019-2020;Delayed;Delayed;J23;
Top 14;2019-2020;Delayed;Delayed;J23;
Top 14;2019-2020;Delayed;Delayed;J23;
Top 14;2019-2020;Delayed;Delayed;J23;
Top 14;2019-2020;Delayed;Delayed;J24;
Top 14;2019-2020;Delayed;Delayed;J24;
Top 14;2019-2020;Delayed;Delayed;J24;
Top 14;2019-2020;Delayed;Delayed;J24;
Top 14;2019-2020;Delayed;Delayed;J24;
Top 14;2019-2020;Delayed;Delayed;J24;
Top 14;2019-2020;Delayed;Delayed;J24;
Top 14;2019-2020;Delayed;Delayed;J25;
Top 14;2019-2020;Delayed;Delayed;J25;
Top 14;2019-2020;Delayed;Delayed;J25;
Top 14;2019-2020;Delayed;Delayed;J25;
Top 14;2019-2020;Delayed;Delayed;J25;
Top 14;2019-2020;Delayed;Delayed;J25;
Top 14;2019-2020;Delayed;Delayed;J25;
Top 14;2019-2020;Delayed;Delayed;J26;
Top 14;2019-2020;Delayed;Delayed;J26;
Top 14;2019-2020;Delayed;Delayed;J26;
Top 14;2019-2020;Delayed;Delayed;J26;
Top 14;2019-2020;Delayed;Delayed;J26;
Top 14;2019-2020;Delayed;Delayed;J26;
Top 14;2019-2020;Delayed;Delayed;J26;
Top 14;2020-2021;23;26;J1;
Top 14;2020-2021;29;15;J1;
Top 14;2020-2021;22;26;J1;
Top 14;2020-2021;23;27;J1;
Top 14;2020-2021;42;23;J1;
Top 14;2020-2021;33;30;J1;
Top 14;2020-2021;26;16;J1;
Top 14;2020-2021;41;17;J2;
Top 14;2020-2021;33;23;J2;
Top 14;2020-2021;39;23;J2;
Top 14;2020-2021;25;20;J2;
Top 14;2020-2021;21;19;J2;
Top 14;2020-2021;16;22;J2;
Top 14;2020-2021;36;14;J2;
Top 14;2020-2021;19;13;J3;
Top 14;2020-2021;19;26;J3;
Top 14;2020-2021;31;12;J3;
Top 14;2020-2021;39;19;J3;
Top 14;2020-2021;27;10;J3;
Top 14;2020-2021;9;6;J3;
Top 14;2020-2021;19;21;J3;
Top 14;2020-2021;19;36;J4;
Top 14;2020-2021;3;20;J4;
Top 14;2020-2021;25;21;J4;
Top 14;2020-2021;24;30;J4;
Top 14;2020-2021;29;29;J4;
Top 14;2020-2021;24;25;J4;
Top 14;2020-2021;16;16;J4;
Top 14;2020-2021;29;24;J5;
Top 14;2020-2021;42;13;J5;
Top 14;2020-2021;62;3;J5;
Top 14;2020-2021;16;36;J5;
Top 14;2020-2021;62;10;J5;
Top 14;2020-2021;41;27;J5;
Top 14;2020-2021;23;29;J5;
Top 14;2020-2021;19;6;J6;
Top 14;2020-2021;7;16;J6;
Top 14;2020-2021;50;29;J6;
Top 14;2020-2021;15;26;J6;
Top 14;2020-2021;25;27;J6;
Top 14;2020-2021;30;6;J6;
Top 14;2020-2021;20;6;J6;
Top 14;2020-2021;21;43;J7;
Top 14;2020-2021;28;26;J7;
Top 14;2020-2021;71;5;J7;
Top 14;2020-2021;24;35;J7;
Top 14;2020-2021;48;14;J7;
Top 14;2020-2021;35;29;J7;
Top 14;2020-2021;24;20;J7;
Top 14;2020-2021;35;19;J8;
Top 14;2020-2021;16;16;J8;
Top 14;2020-2021;24;22;J8;
Top 14;2020-2021;43;19;J8;
Top 14;2020-2021;16;19;J8;
Top 14;2020-2021;19;10;J8;
Top 14;2020-2021;31;6;J8;
Top 14;2020-2021;29;30;J9;
Top 14;2020-2021;16;22;J9;
Top 14;2020-2021;9;38;J9;
Top 14;2020-2021;29;20;J9;
Top 14;2020-2021;19;23;J9;
Top 14;2020-2021;35;13;J9;
Top 14;2020-2021;26;18;J9;
Top 14;2020-2021;14;40;J10;
Top 14;2020-2021;18;13;J10;
Top 14;2020-2021;36;22;J10;
Top 14;2020-2021;22;23;J10;
Top 14;2020-2021;63;18;J10;
Top 14;2020-2021;43;17;J10;
Top 14;2020-2021;20;19;J10;
Top 14;2020-2021;15;21;J11;
Top 14;2020-2021;12;17;J11;
Top 14;2020-2021;22;18;J11;
Top 14;2020-2021;20;24;J11;
Top 14;2020-2021;6;15;J11;
Top 14;2020-2021;13;17;J11;
Top 14;2020-2021;24;23;J11;
Top 14;2020-2021;22;9;J12;
Top 14;2020-2021;12;8;J12;
Top 14;2020-2021;45;10;J12;
Top 14;2020-2021;45;23;J12;
Top 14;2020-2021;29;27;J12;
Top 14;2020-2021;27;9;J12;
Top 14;2020-2021;31;21;J12;
Top 14;2020-2021;31;18;J13;
Top 14;2020-2021;9;16;J13;
Top 14;2020-2021;13;43;J13;
Top 14;2020-2021;14;15;J13;
Top 14;2020-2021;51;21;J13;
Top 14;2020-2021;22;24;J13;
Top 14;2020-2021;22;23;J13;
Top 14;2020-2021;39;23;J14;
Top 14;2020-2021;23;22;J14;
Top 14;2020-2021;31;42;J14;
Top 14;2020-2021;31;9;J14;
Top 14;2020-2021;48;24;J14;
Top 14;2020-2021;26;22;J14;
Top 14;2020-2021;14;16;J14;
Top 14;2020-2021;22;24;J15;
Top 14;2020-2021;36;37;J15;
Top 14;2020-2021;25;23;J15;
Top 14;2020-2021;17;18;J15;
Top 14;2020-2021;29;9;J15;
Top 14;2020-2021;11;14;J15;
Top 14;2020-2021;48;20;J15;
Top 14;2020-2021;31;9;J16;
Top 14;2020-2021;44;6;J16;
Top 14;2020-2021;48;17;J16;
Top 14;2020-2021;34;26;J16;
Top 14;2020-2021;11;29;J16;
Top 14;2020-2021;26;23;J16;
Top 14;2020-2021;16;52;J16;
Top 14;2020-2021;23;20;J17;
Top 14;2020-2021;16;11;J17;
Top 14;2020-2021;29;33;J17;
Top 14;2020-2021;73;3;J17;
Top 14;2020-2021;25;23;J17;
Top 14;2020-2021;19;39;J17;
Top 14;2020-2021;31;23;J17;
Top 14;2020-2021;22;16;J18;
Top 14;2020-2021;42;17;J18;
Top 14;2020-2021;40;21;J18;
Top 14;2020-2021;22;15;J18;
Top 14;2020-2021;29;23;J18;
Top 14;2020-2021;20;28;J18;
Top 14;2020-2021;25;21;J18;
Top 14;2020-2021;40;3;J19;
Top 14;2020-2021;32;33;J19;
Top 14;2020-2021;16;21;J19;
Top 14;2020-2021;59;19;J19;
Top 14;2020-2021;0;59;J19;
Top 14;2020-2021;27;32;J19;
Top 14;2020-2021;35;13;J19;
Top 14;2020-2021;27;34;J20;
Top 14;2020-2021;11;26;J20;
Top 14;2020-2021;23;13;J20;
Top 14;2020-2021;57;3;J20;
